Gene ID,Symbol,Name,Cytoband,Type
ENSG00000141510,TP53,tumor protein p53,17p13.1,protein_coding
ENSG00000121879,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit alpha",3q26.32,protein_coding
ENSG00000155657,TTN,titin,2q31.2,protein_coding
ENSG00000145113,MUC4,"mucin 4, cell surface associated",3q29,protein_coding
ENSG00000039068,CDH1,"cadherin 1, type 1, E-cadherin (epithelial)",16q22.1,protein_coding
ENSG00000181143,MUC16,"mucin 16, cell surface associated",19p13.2,protein_coding
ENSG00000107485,GATA3,GATA binding protein 3,10p14,protein_coding
ENSG00000198788,MUC2,"mucin 2, oligomeric mucus/gel-forming",11p15.5,processed_transcript
ENSG00000055609,KMT2C,lysine (K)-specific methyltransferase 2C,7q36.1,protein_coding
ENSG00000095015,MAP3K1,"mitogen-activated protein kinase kinase kinase 1, E3 ubiquitin protein ligase",5q11.2,protein_coding
ENSG00000198626,RYR2,ryanodine receptor 2 (cardiac),1q43,protein_coding
ENSG00000131018,SYNE1,"spectrin repeat containing, nuclear envelope 1",6q25.2,protein_coding
ENSG00000143341,HMCN1,hemicentin 1,"1q25.3, 1q31.1",protein_coding
ENSG00000042781,USH2A,"Usher syndrome 2A (autosomal recessive, mild)",1q41,protein_coding
ENSG00000163554,SPTA1,"spectrin, alpha, erythrocytic 1",1q23.1,protein_coding
ENSG00000143631,FLG,filaggrin,1q21.3,protein_coding
ENSG00000198838,RYR3,ryanodine receptor 3,"15q13.3, 15q14",protein_coding
ENSG00000151914,DST,dystonin,6p12.1,protein_coding
ENSG00000171862,PTEN,phosphatase and tensin homolog,10q23.31,protein_coding
ENSG00000198947,DMD,dystrophin,"Xp21.2, Xp21.1",protein_coding
ENSG00000091656,ZFHX4,zinc finger homeobox 4,8q21.13,protein_coding
ENSG00000154358,OBSCN,"obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF",1q42.13,protein_coding
ENSG00000183091,NEB,nebulin,2q23.3,protein_coding
ENSG00000169876,MUC17,"mucin 17, cell surface associated",7q22.1,protein_coding
ENSG00000127603,MACF1,microtubule-actin crosslinking factor 1,1p34.3,protein_coding
ENSG00000141027,NCOR1,nuclear receptor corepressor 1,"17p12, 17p11.2",protein_coding
ENSG00000054654,SYNE2,"spectrin repeat containing, nuclear envelope 2",14q23.2,protein_coding
ENSG00000084674,APOB,apolipoprotein B,2p24.1,protein_coding
ENSG00000196712,NF1,neurofibromin 1,17q11.2,protein_coding
ENSG00000117983,MUC5B,"mucin 5B, oligomeric mucus/gel-forming",11p15.5,protein_coding
ENSG00000205038,PKHD1L1,polycystic kidney and hepatic disease 1 (autosomal recessive)-like 1,"8q23.1, 8q23.2",protein_coding
ENSG00000183117,CSMD1,CUB and Sushi multiple domains 1,8p23.2,protein_coding
ENSG00000179869,ABCA13,"ATP-binding cassette, sub-family A (ABC1), member 13",7p12.3,protein_coding
ENSG00000277322,GOLGA6L6,golgin A6 family-like 6,15q11.2,protein_coding
ENSG00000175820,CCDC168,coiled-coil domain containing 168,13q33.1,protein_coding
ENSG00000164796,CSMD3,CUB and Sushi multiple domains 3,8q23.3,protein_coding
ENSG00000165323,FAT3,FAT atypical cadherin 3,11q14.3,protein_coding
ENSG00000159216,RUNX1,runt-related transcription factor 1,21q22.12,protein_coding
ENSG00000086758,HUWE1,"HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase",Xp11.22,protein_coding
ENSG00000105877,DNAH11,"dynein, axonemal, heavy chain 11",7p15.3,protein_coding
ENSG00000196218,RYR1,ryanodine receptor 1 (skeletal),19q13.2,protein_coding
ENSG00000198216,CACNA1E,"calcium channel, voltage-dependent, R type, alpha 1E subunit",1q25.3,protein_coding
ENSG00000186472,PCLO,piccolo presynaptic cytomatrix protein,7q21.11,protein_coding
ENSG00000163092,XIRP2,xin actin-binding repeat containing 2,2q24.3,protein_coding
ENSG00000168702,LRP1B,low density lipoprotein receptor-related protein 1B,"2q22.1, 2q22.2",protein_coding
ENSG00000117713,ARID1A,AT rich interactive domain 1A (SWI-like),1p36.11,protein_coding
ENSG00000081479,LRP2,low density lipoprotein receptor-related protein 2,2q31.1,protein_coding
ENSG00000145675,PIK3R1,"phosphoinositide-3-kinase, regulatory subunit 1 (alpha)",5q13.1,protein_coding
ENSG00000164199,ADGRV1,adhesion G protein-coupled receptor V1,5q14.3,protein_coding
ENSG00000187775,DNAH17,"dynein, axonemal, heavy chain 17",17q25.3,protein_coding
ENSG00000065559,MAP2K4,mitogen-activated protein kinase kinase 4,17p12,protein_coding
ENSG00000173821,RNF213,ring finger protein 213,17q25.3,protein_coding
ENSG00000121904,CSMD2,CUB and Sushi multiple domains 2,1p35.1,protein_coding
ENSG00000167548,KMT2D,lysine (K)-specific methyltransferase 2D,12q13.12,protein_coding
ENSG00000112159,MDN1,"MDN1, midasin homolog (yeast)",6q15,protein_coding
ENSG00000157423,HYDIN,"HYDIN, axonemal central pair apparatus protein",16q22.2,protein_coding
ENSG00000065526,SPEN,spen family transcriptional repressor,"1p36.21, 1p36.13",protein_coding
ENSG00000197410,DCHS2,dachsous cadherin-related 2,4q31.3,protein_coding
ENSG00000106772,PRUNE2,prune homolog 2 (Drosophila),9q21.2,protein_coding
ENSG00000253729,PRKDC,"protein kinase, DNA-activated, catalytic polypeptide",8q11.21,protein_coding
ENSG00000124942,AHNAK,AHNAK nucleoprotein,11q12.3,protein_coding
ENSG00000185567,AHNAK2,AHNAK nucleoprotein 2,14q32.33,protein_coding
ENSG00000101825,MXRA5,matrix-remodelling associated 5,Xp22.33,protein_coding
ENSG00000083857,FAT1,FAT atypical cadherin 1,4q35.2,protein_coding
ENSG00000127914,AKAP9,A kinase (PRKA) anchor protein 9,7q21.2,protein_coding
ENSG00000206579,XKR4,"XK, Kell blood group complex subunit-related family, member 4",8q12.1,protein_coding
ENSG00000124721,DNAH8,"dynein, axonemal, heavy chain 8",6p21.2,protein_coding
ENSG00000165124,SVEP1,"sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1",9q31.3,protein_coding
ENSG00000115760,BIRC6,baculoviral IAP repeat containing 6,2p22.3,protein_coding
ENSG00000066279,ASPM,"asp (abnormal spindle) homolog, microcephaly associated (Drosophila)",1q31.3,protein_coding
ENSG00000009694,TENM1,teneurin transmembrane protein 1,Xq25,protein_coding
ENSG00000100345,MYH9,"myosin, heavy chain 9, non-muscle",22q12.3,protein_coding
ENSG00000151835,SACS,sacsin molecular chaperone,13q12.12,protein_coding
ENSG00000124177,CHD6,chromodomain helicase DNA binding protein 6,20q12,protein_coding
ENSG00000007174,DNAH9,"dynein, axonemal, heavy chain 9",17p12,protein_coding
ENSG00000116580,GON4L,gon-4-like (C. elegans),1q22,protein_coding
ENSG00000268043,NBPF12,"neuroblastoma breakpoint family, member 12",1q21.1,protein_coding
